#radius[cm] density[g/cm^3] temperature[K] pressure[dyne/cm^2] sp.energy[erg/g] sp.entropy[erg/g/K] menclosed[g] matID
3.36243000e+07 1.19332471e+01 5.49252117e+03 3.03928887e+12 7.20987022e+10 1.81731155e+07 1.91827275e+24 402
3.38209333e+07 1.19330056e+01 5.49237166e+03 3.03902639e+12 7.20935515e+10 1.81731155e+07 1.95200123e+24 402
3.40175667e+07 1.19327627e+01 5.49222127e+03 3.03876239e+12 7.20883708e+10 1.81731155e+07 1.98612236e+24 402
3.42142000e+07 1.19325183e+01 5.49207001e+03 3.03849686e+12 7.20831600e+10 1.81731155e+07 2.02063838e+24 402
3.44108333e+07 1.19322726e+01 5.49191788e+03 3.03822980e+12 7.20779192e+10 1.81731155e+07 2.05555157e+24 402
3.46074667e+07 1.19320254e+01 5.49176488e+03 3.03796121e+12 7.20726483e+10 1.81731155e+07 2.09086418e+24 402
3.48041000e+07 1.19317768e+01 5.49161100e+03 3.03769108e+12 7.20673474e+10 1.81731155e+07 2.12657846e+24 402
3.50007333e+07 1.19315269e+01 5.49145626e+03 3.03741943e+12 7.20620165e+10 1.81731155e+07 2.16269669e+24 402
3.51973667e+07 1.19312755e+01 5.49130064e+03 3.03714624e+12 7.20566556e+10 1.81731155e+07 2.19922111e+24 402
3.53940000e+07 1.19310227e+01 5.49114415e+03 3.03687153e+12 7.20512647e+10 1.81731155e+07 2.23615399e+24 402
3.55906333e+07 1.19307685e+01 5.49098679e+03 3.03659529e+12 7.20458437e+10 1.81731155e+07 2.27349759e+24 402
3.57872667e+07 1.19305129e+01 5.49082856e+03 3.03631752e+12 7.20403927e+10 1.81731155e+07 2.31125415e+24 402
3.59839000e+07 1.19302559e+01 5.49066945e+03 3.03603822e+12 7.20349117e+10 1.81731155e+07 2.34942595e+24 402
3.61805333e+07 1.19299975e+01 5.49050948e+03 3.03575738e+12 7.20294007e+10 1.81731155e+07 2.38801523e+24 402
3.63771667e+07 1.19297376e+01 5.49034863e+03 3.03547502e+12 7.20238597e+10 1.81731155e+07 2.42702425e+24 402
3.65738000e+07 1.19294764e+01 5.49018692e+03 3.03519114e+12 7.20182887e+10 1.81731155e+07 2.46645528e+24 402
3.67704333e+07 1.19292138e+01 5.49002433e+03 3.03490572e+12 7.20126877e+10 1.81731155e+07 2.50631056e+24 402
3.69670667e+07 1.19289497e+01 5.48986087e+03 3.03461877e+12 7.20070567e+10 1.81731155e+07 2.54659236e+24 402
3.71637000e+07 1.19286843e+01 5.48969654e+03 3.03433030e+12 7.20013957e+10 1.81731155e+07 2.58730292e+24 402
3.73603333e+07 1.19284174e+01 5.48953135e+03 3.03404030e+12 7.19957048e+10 1.81731155e+07 2.62844450e+24 402
3.75569667e+07 1.19281491e+01 5.48936528e+03 3.03374877e+12 7.19899838e+10 1.81731155e+07 2.67001937e+24 402
3.77536000e+07 1.19278795e+01 5.48919834e+03 3.03345571e+12 7.19842328e+10 1.81731155e+07 2.71202977e+24 402
3.79502333e+07 1.19276084e+01 5.48903053e+03 3.03316112e+12 7.19784519e+10 1.81731155e+07 2.75447796e+24 402
3.81468667e+07 1.19273359e+01 5.48886185e+03 3.03286501e+12 7.19726410e+10 1.81731155e+07 2.79736619e+24 402
3.83435000e+07 1.19270620e+01 5.48869230e+03 3.03256737e+12 7.19668001e+10 1.81731155e+07 2.84069671e+24 402
3.85401333e+07 1.19267867e+01 5.48852188e+03 3.03226820e+12 7.19609293e+10 1.81731155e+07 2.88447179e+24 402
3.87367667e+07 1.19265100e+01 5.48835059e+03 3.03196751e+12 7.19550285e+10 1.81731155e+07 2.92869367e+24 402
3.89334000e+07 1.19262319e+01 5.48817843e+03 3.03166528e+12 7.19490977e+10 1.81731155e+07 2.97336460e+24 402
3.91300333e+07 1.19259524e+01 5.48800540e+03 3.03136154e+12 7.19431370e+10 1.81731155e+07 3.01848685e+24 402
3.93266667e+07 1.19256715e+01 5.48783150e+03 3.03105626e+12 7.19371463e+10 1.81731155e+07 3.06406265e+24 402
3.95233000e+07 1.19253892e+01 5.48765673e+03 3.03074946e+12 7.19311256e+10 1.81731155e+07 3.11009427e+24 402
3.97199333e+07 1.19251055e+01 5.48748109e+03 3.03044113e+12 7.19250751e+10 1.81731155e+07 3.15658395e+24 402
3.99165667e+07 1.19248203e+01 5.48730459e+03 3.03013128e+12 7.19189945e+10 1.81731155e+07 3.20353395e+24 402
4.01132000e+07 1.19245338e+01 5.48712721e+03 3.02981990e+12 7.19128840e+10 1.81731155e+07 3.25094652e+24 402
4.03098333e+07 1.19242459e+01 5.48694896e+03 3.02950700e+12 7.19067436e+10 1.81731155e+07 3.29882391e+24 402
4.05064667e+07 1.19239565e+01 5.48676985e+03 3.02919257e+12 7.19005733e+10 1.81731155e+07 3.34716836e+24 402
4.07031000e+07 1.19236658e+01 5.48658987e+03 3.02887661e+12 7.18943730e+10 1.81731155e+07 3.39598213e+24 402
4.08997333e+07 1.19233736e+01 5.48640902e+03 3.02855913e+12 7.18881428e+10 1.81731155e+07 3.44526747e+24 402
